Chapter 1,1,1, , 
,2,2, , 
,3,3, , 
,4,4, , 
,5,5, , 
,6,6, , 
,7,7, , 
,8,8, , 
,9,9, , 
,10,10, , 
,11,11, , 
,12,12, , 
,13,13,hope,1
,14,14, , 
,15,15,be holy,1
,16,16, , 
,17,17,conduct,1
,18,18, , 
,19,19, , 
,20,20, , 
,21,21, , 
,22,22,love,1
,23,23, , 
,24,24, , 
,25,25, , 
Chapter 2,1,26, , 
,2,27,long,1
,3,28, , 
,4,29, , 
,5,30, , 
,6,31,Behold,1
,7,32, , 
,8,33, , 
,9,34, , 
,10,35, , 
,11,36, , 
,12,37, , 
,13,38,subject ,1
,14,39, , 
,15,40, , 
,16,41, , 
,17,42,"Honor, love, Fear, Honor",4
,18,43, , 
,19,44, , 
,20,45, , 
,21,46, , 
,22,47, , 
,23,48, , 
,24,49, , 
,25,50, , 
Chapter 3,1,51, , 
,2,52, , 
,3,53,be,1
,4,54, , 
,5,55, , 
,6,56, , 
,7,57, , 
,8,58, , 
,9,59, , 
,10,60,keep,1
,11,61,"turn, do, seek, pursue",4
,12,62, , 
,13,63, , 
,14,64,fear,1
,15,65,holy,1
,16,66, , 
,17,67, , 
,18,68, , 
,19,69, , 
,20,70, , 
,21,71, , 
,22,72, , 
Chapter 4,1,73,arm,1
,2,74, , 
,3,75, , 
,4,76, , 
,5,77, , 
,6,78, , 
,7,79,"self-controlled, sober-minded",1
,8,80, , 
,9,81, , 
,10,82, , 
,11,83, , 
,12,84,surpirsed,1
,13,85,rejoice,1
,14,86, , 
,15,87,suffer,1
,16,88,"ashamed, glorify",2
,17,89, , 
,18,90, , 
,19,91,entrust,1
Chapter 5,1,92, , 
,2,93,shepherd,1
,3,94, , 
,4,95, , 
,5,96,"subject, clothe",2
,6,97,Humble,1
,7,98, , 
,8,99,"sober-minded, watchful",2
,9,100,Resist,1
,10,101, , 
,11,102, , 
,12,103,Stand ,1
,13,104, , 
,14,105,Greet,1
