,,,,
Chapter 1,1,1, ,
,2,2, ,
,3,3, ,
,4,4, ,
,5,5, ,
,6,6, ,
,7,7, ,
,8,8, ,
,9,9, ,
,10,10, ,
,11,11, ,
,12,12, ,
,13,13, ,
,14,14, ,
,15,15, ,
,16,16, ,
,17,17, ,
,18,18, ,
,19,19, ,
,20,20, ,
,21,21, ,
,22,22, ,
,23,23, ,
Chapter 2,1,24, ,
,2,25, ,
,3,26, ,
,4,27, ,
,5,28, ,
,6,29, ,
,7,30, ,
,8,31, ,
,9,32, ,
,10,33, ,
,11,34,Remember,1
,12,35, ,
,13,36, ,
,14,37, ,
,15,38, ,
,16,39, ,
,17,40, ,
,18,41, ,
,19,42, ,
,20,43, ,
,21,44, ,
,22,45, ,
Chapter 3,1,46, ,
,2,47, ,
,3,48, ,
,4,49, ,
,5,50, ,
,6,51, ,
,7,52, ,
,8,53, ,
,9,54, ,
,10,55, ,
,11,56, ,
,12,57, ,
,13,58, ,
,14,59, ,
,15,60, ,
,16,61, ,
,17,62, ,
,18,63, ,
,19,64, ,
,20,65, ,
,21,66, ,
Chapter 4,1,67, ,
,2,68, ,
,3,69, ,
,4,70, ,
,5,71, ,
,6,72, ,
,7,73, ,
,8,74, ,
,9,75, ,
,10,76, ,
,11,77, ,
,12,78, ,
,13,79, ,
,14,80, ,
,15,81, ,
,16,82, ,
,17,83, ,
,18,84, ,
,19,85, ,
,20,86, ,
,21,87, ,
,22,88, ,
,23,89, ,
,24,90, ,
,25,91,Speak,1
,26,92,"Angry, sin, go",3
,27,93,Give,1
,28,94,"Steal, labor",2
,29,95,Come,1
,30,96,Grieve,1
,31,97,Put,1
,32,98,Be,1
Chapter 5,1,99,Be,1
,2,100,Walk,1
,3,101,Named,1
,4,102, ,
,5,103,You may be sure of,1
,6,104,Deceive,1
,7,105,Become,1
,8,106,Walk,1
,9,107, ,
,10,108, ,
,11,109,"Take, expose",2
,12,110, ,
,13,111, ,
,14,112,"Awake, arise",2
,15,113,Look,1
,16,114, ,
,17,115,"Be, understand",2
,18,116,"Drunk, filled",2
,19,117, ,
,20,118, ,
,21,119, ,
,22,120, ,
,23,121, ,
,24,122, ,
,25,123,Love,1
,26,124, ,
,27,125, ,
,28,126, ,
,29,127, ,
,30,128, ,
,31,129, ,
,32,130, ,
,33,131,Love,1
Chapter 6,1,132,Obey,1
,2,133,Honor,1
,3,134, ,
,4,135,"Provoke, bring ",2
,5,136,Obey,1
,6,137, ,
,7,138, ,
,8,139, ,
,9,140,Do ,1
,10,141,Strong ,1
,11,142,Put ,1
,12,143, ,
,13,144,Take ,1
,14,145,Stand ,1
,15,146, ,
,16,147, ,
,17,148,Take ,1
,18,149, ,
,19,150, ,
,20,151, ,
,21,152, ,
,22,153, ,
,23,154, ,
,24,155, ,
